id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,zip_code,school_type,school_level,charter,rate_unemployment_normalized,percent_college_normalized,percent_lunch_normalized,income_poverty_ratio_estimate,income_poverty_se
120018004050,0.0813594232749743,0.710396681358569,0.888779041028176,83802.0,19.8107448107448,0.38738338516215,2016-2017,FL,33073,Regular School,High,No,-0.2668337548250592,0.8331092894816793,-0.09878229594098567,373,73
120018004052,0.0583617476805963,0.807441446783279,0.721993531314319,89750.0,20.2014652014652,0.36701030927835,2016-2017,FL,33027,Regular School,High,No,-0.6733179471395413,1.4215651289582263,-0.18575898011463732,426,89
120018007555,0.104891446507978,0.637521018496277,0.869413407821229,85717.0,21.8376068376068,0.188373804267844,2016-2017,FL,33029,Regular School,High,No,0.1490950384192239,0.39120900584082074,-0.9483934967090805,386,94
120024000296,0.243264659270998,0.507062146892655,0.138728323699422,26636.0,21.9352869352869,0.40273396424816,2016-2017,FL,33950,Regular School,High,No,2.594843235758183,-0.3998618414191703,-0.033247642427609414,194,39
120024000298,0.223901098901099,0.577916295636687,0.705583756345178,44063.0,22.8388278388278,0.353968253968254,2016-2017,FL,34224,Regular School,High,No,2.25259207367921,0.029780472590164305,-0.24143808974694952,373,120
120024002122,0.0577922077922078,0.559405940594059,0.522550544323484,38237.0,21.1782661782662,0.484542211652794,2016-2017,FL,33948,Regular School,High,No,-0.6833845715065305,-0.08246181547089877,0.31600792103744146,214,30
120024007659,0.243264659270998,0.507062146892655,0.138728323699422,26636.0,23.2295482295482,0.010989010989011,2016-2017,FL,33950,Regular School,High,Yes,2.594843235758183,-0.3998618414191703,-1.7056842087360087,216,50
120027000305,0.189716312056738,0.535067873303167,0.382911392405063,32095.0,20.1526251526252,0.469055374592834,2016-2017,FL,34452,Regular School,High,No,1.6483755556729416,-0.2300419322986311,0.24989155532537777,221,92
120027000314,0.123035230352304,0.389318885448916,0.542217700915565,29109.0,21.3492063492064,0.489263803680982,2016-2017,FL,34428,Regular School,High,No,0.4697866357601452,-1.1138283233036215,0.33616532981434044,163,38
120027002425,0.114880493446415,0.486725663716814,0.542528735632184,35531.0,21.7399267399267,0.420817369093231,2016-2017,FL,34461,Regular School,High,No,0.32565156301663206,-0.5231773260500712,0.04395398392301383,192,51
120030000323,0.115600448933782,0.552929085303186,0.520169851380042,39375.0,20.8852258852259,0.380803011292346,2016-2017,FL,32073,Regular School,High,No,0.33837678490193845,-0.1217358896641716,-0.1268752114674819,236,45
120030000328,0.199762187871581,0.56551724137931,0.731578947368421,55221.0,21.4224664224664,0.363047001620746,2016-2017,FL,32656,Regular School,High,No,1.8259365313432958,-0.045404374833684556,-0.20267912316935122,257,24
120030000330,0.118957545187053,0.485205110961668,0.256034482758621,37944.0,21.6422466422466,0.302358827734096,2016-2017,FL,32043,Regular School,High,No,0.39771350149456763,-0.5323975878960542,-0.46176892204513437,281,92
120030002053,0.0426940639269406,0.617870310127955,0.604854755272583,58974.0,20.3235653235653,0.332748538011696,2016-2017,FL,32068,Regular School,High,No,-0.9502444456418662,0.272051892743762,-0.3320292475836371,251,40
120030002494,0.0819672131147541,0.546031746031746,0.581609195402299,47981.0,21.9108669108669,0.269798657718121,2016-2017,FL,32065,Regular School,High,No,-0.25609106210787697,-0.16355967638122731,-0.6007747177468896,198,45
120030004062,0.115631691648822,0.683370730491149,0.645710928319624,86081.0,22.9120879120879,0.113243761996161,2016-2017,FL,32003,Regular School,High,No,0.3389290002654707,0.6692305008037058,-1.2691384836657795,395,54
120030007558,0.0885449701890143,0.705837257693571,0.728946525776497,82955.0,20.1037851037851,0.214180929095355,2016-2017,FL,32065,Regular School,High,No,-0.13982912682668042,0.8054620540169573,-0.8382177844918951,334,58
120033000343,0.100534759358289,0.653919694072658,0.797385620915033,61088.0,21.6910866910867,0.372572815533981,2016-2017,FL,34102,Regular School,High,No,0.07209054072811202,0.49064658354396373,-0.16201154243907792,360,133
120033000354,0.166139954853273,0.317539319131993,0.646969696969697,44471.0,20.5433455433455,0.606,2016-2017,FL,34113,Regular School,High,No,1.2316631589683391,-1.5490821442534768,0.8345352046817,171,45
120033000355,0.0764494612621857,0.0931216931216931,0.347695390781563,18861.0,17.5396825396825,0.870477568740955,2016-2017,FL,34142,Regular School,High,No,-0.3536173923658487,-2.9098960112278944,1.9636421740269046,102,51
120033000357,0.0542521994134897,0.701923076923077,0.658303464755078,48660.0,22.8144078144078,0.240893066980023,2016-2017,FL,34109,Regular School,High,No,-0.7459542621130669,0.7817274144299207,-0.7241783928139186,291,112
120033003336,0.0840404699738903,0.719877206446662,0.768115942028985,63483.0,22.3260073260073,0.196637799286806,2016-2017,FL,34119,Regular School,High,No,-0.21944622222447363,0.8905968863136839,-0.9131128700193996,398,89
120033003959,0.116151202749141,0.601998621640248,0.488975356679637,43057.0,18.6385836385836,0.6658521686011,2016-2017,FL,34116,Regular School,High,No,0.3481113652025253,0.175809836492001,1.09005593190117,206,83
120033003960,0.0561618917689859,0.556806550665302,0.570190641247834,59273.0,20.4212454212454,0.399670148433205,2016-2017,FL,34120,Regular School,High,No,-0.7122004267957804,-0.09822388337800593,-0.0463276771765831,324,78
120036000358,0.126320624712908,0.558779201205727,0.475319926873857,44231.0,21.4468864468864,0.445615982241953,2016-2017,FL,32025,Regular School,High,No,0.5278560205388024,-0.08626221059040749,0.14982416062500392,291,77
120039000589,0.085045911674683,0.582964156262586,0.58679706601467,33465.0,18.3699633699634,0.698139534883721,2016-2017,FL,33015,Regular School,High,No,-0.20167502808840476,0.060389470913505765,1.2278970745926165,220,34
120039000590,0.0283322601416613,0.934972244250595,0.789705882352941,122750.0,20.4700854700855,0.613357292602576,2016-2017,FL,33146,Regular School,High,No,-1.2040895000205551,2.194880847269338,0.8659449397024306,632,207
120039000591,0.0795807453416149,0.375599725839616,0.471598414795244,38911.0,15.5128205128205,0.762201453790239,2016-2017,FL,33013,Regular School,High,No,-0.29827190865769837,-1.1970179683037605,1.5013900571972156,205,40
120039000592,0.0959507042253521,0.721105527638191,0.823115577889447,66385.0,15.3174603174603,0.726840855106888,2016-2017,FL,33014,Regular School,High,No,-0.008932688797415546,0.8980451270791154,1.350428678492558,154,48
120039000593,0.21231884057971,0.239157631359466,0.556390977443609,25114.0,15.7814407814408,0.858131487889273,2016-2017,FL,33034,Regular School,High,No,2.04787551875492,-2.0243696229331527,1.9109343167969126,328,128
120039000594,0.0,0.677475898334794,1.0,36250.0,19.5665445665446,0.57864941366761,2016-2017,FL,33139,Regular School,High,No,-1.7048625382724005,0.6334856732495349,0.7177701505011445,448,157
120039000595,0.195289206917114,0.389051288865267,0.542695836273818,45873.0,16.2698412698413,0.805045871559633,2016-2017,FL,33056,Regular School,High,No,1.7468765392561363,-1.115450963861132,1.6843013374666687,149,49
120039000596,0.275013376136972,0.342292490118577,0.526946107784431,21844.0,14.6825396825397,0.782985226693836,2016-2017,FL,33147,Regular School,High,No,3.156002187641193,-1.3989849396400285,1.590120088051834,155,24
120039000599,0.166166166166166,0.60130515848353,0.69601677148847,37332.0,19.2246642246642,0.690401396160559,2016-2017,FL,33165,Regular School,High,No,1.2321264442385003,0.17160484467975162,1.1948614322745337,241,78
120039000600,0.196588139723802,0.258319232938522,0.265013054830287,24715.0,14.6336996336996,0.878103837471783,2016-2017,FL,33127,Regular School,High,No,1.7698351922135003,-1.9081783343709007,1.9962002212558976,121,58
120039000601,0.200777831793875,0.214015946286194,0.444055944055944,15170.0,15.9035409035409,0.874747474747475,2016-2017,FL,33142,Regular School,High,No,1.8438880498669206,-2.1768226824145054,1.9818712459794405,110,29
120039000602,0.0241702741702742,0.755433119069483,0.817027632561613,94439.0,19.5909645909646,0.505472233481962,2016-2017,FL,33176,Regular School,High,No,-1.2776526520469738,1.1061992871155035,0.4053623174362064,644,216
120039000603,0.179159663865546,0.500311720698254,0.576603773584906,59688.0,15.7326007326007,0.750155376009944,2016-2017,FL,33169,Regular School,High,No,1.4617866721166475,-0.44079478299171265,1.4499629723228555,250,62
120039000604,0.206257982120051,0.336070060207991,0.109026963657679,23190.0,15.5128205128205,0.813839559093693,2016-2017,FL,33150,Regular School,High,No,1.940749772694342,-1.4367162402474645,1.7218433261056985,172,83
